[2021-08-02 20:29:25.593150] PING 172.16.0.2 (172.16.0.2) 56(84) bytes of data.
[2021-08-02 20:29:51.258586] 64 bytes from 172.16.0.2: icmp_seq=704 ttl=64 time=29.7 ms
[2021-08-02 20:29:51.454794] 64 bytes from 172.16.0.2: icmp_seq=705 ttl=64 time=24.9 ms
[2021-08-02 20:29:51.660408] 64 bytes from 172.16.0.2: icmp_seq=706 ttl=64 time=30.3 ms
[2021-08-02 20:29:51.856988] 64 bytes from 172.16.0.2: icmp_seq=707 ttl=64 time=26.3 ms
[2021-08-02 20:29:52.045508] 64 bytes from 172.16.0.2: icmp_seq=708 ttl=64 time=14.1 ms
[2021-08-02 20:29:52.248468] 64 bytes from 172.16.0.2: icmp_seq=709 ttl=64 time=16.8 ms
[2021-08-02 20:29:52.459605] 64 bytes from 172.16.0.2: icmp_seq=710 ttl=64 time=26.8 ms
[2021-08-02 20:29:52.666684] 64 bytes from 172.16.0.2: icmp_seq=711 ttl=64 time=32.8 ms
[2021-08-02 20:29:52.854128] 64 bytes from 172.16.0.2: icmp_seq=712 ttl=64 time=19.1 ms
[2021-08-02 20:29:53.051032] 64 bytes from 172.16.0.2: icmp_seq=713 ttl=64 time=15.8 ms
[2021-08-02 20:29:53.250517] 64 bytes from 172.16.0.2: icmp_seq=714 ttl=64 time=14.2 ms
[2021-08-02 20:29:53.452032] 64 bytes from 172.16.0.2: icmp_seq=715 ttl=64 time=15.2 ms
[2021-08-02 20:29:53.656223] 64 bytes from 172.16.0.2: icmp_seq=716 ttl=64 time=18.7 ms
[2021-08-02 20:29:53.856120] 64 bytes from 172.16.0.2: icmp_seq=717 ttl=64 time=17.7 ms
[2021-08-02 20:29:54.057302] 64 bytes from 172.16.0.2: icmp_seq=718 ttl=64 time=17.9 ms
[2021-08-02 20:29:54.257031] 64 bytes from 172.16.0.2: icmp_seq=719 ttl=64 time=16.4 ms
[2021-08-02 20:29:54.453944] 64 bytes from 172.16.0.2: icmp_seq=720 ttl=64 time=12.6 ms
[2021-08-02 20:29:54.660365] 64 bytes from 172.16.0.2: icmp_seq=721 ttl=64 time=18.1 ms
[2021-08-02 20:29:54.858090] 64 bytes from 172.16.0.2: icmp_seq=722 ttl=64 time=15.5 ms
[2021-08-02 20:29:55.071824] 64 bytes from 172.16.0.2: icmp_seq=723 ttl=64 time=28.4 ms
[2021-08-02 20:29:55.259074] 64 bytes from 172.16.0.2: icmp_seq=724 ttl=64 time=15.0 ms
[2021-08-02 20:29:55.459890] 64 bytes from 172.16.0.2: icmp_seq=725 ttl=64 time=15.6 ms
[2021-08-02 20:29:55.663988] 64 bytes from 172.16.0.2: icmp_seq=726 ttl=64 time=18.9 ms
[2021-08-02 20:29:55.862537] 64 bytes from 172.16.0.2: icmp_seq=727 ttl=64 time=17.3 ms
[2021-08-02 20:29:56.065572] 64 bytes from 172.16.0.2: icmp_seq=728 ttl=64 time=19.7 ms
[2021-08-02 20:29:56.263029] 64 bytes from 172.16.0.2: icmp_seq=729 ttl=64 time=16.1 ms
[2021-08-02 20:29:56.461170] 64 bytes from 172.16.0.2: icmp_seq=730 ttl=64 time=13.7 ms
[2021-08-02 20:29:56.677609] 64 bytes from 172.16.0.2: icmp_seq=731 ttl=64 time=29.1 ms
[2021-08-02 20:29:56.873567] 64 bytes from 172.16.0.2: icmp_seq=732 ttl=64 time=24.7 ms
[2021-08-02 20:29:57.074127] 64 bytes from 172.16.0.2: icmp_seq=733 ttl=64 time=24.3 ms
[2021-08-02 20:29:57.276887] 64 bytes from 172.16.0.2: icmp_seq=734 ttl=64 time=26.5 ms
