[2021-08-02 20:29:32.325100] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2021-08-02 20:30:07.803588] 64 bytes from 172.16.0.1: icmp_seq=178 ttl=64 time=17.7 ms
[2021-08-02 20:30:08.007821] 64 bytes from 172.16.0.1: icmp_seq=179 ttl=64 time=21.0 ms
[2021-08-02 20:30:08.213086] 64 bytes from 172.16.0.1: icmp_seq=180 ttl=64 time=26.9 ms
[2021-08-02 20:30:08.411319] 64 bytes from 172.16.0.1: icmp_seq=181 ttl=64 time=23.9 ms
[2021-08-02 20:30:08.613027] 64 bytes from 172.16.0.1: icmp_seq=182 ttl=64 time=25.4 ms
[2021-08-02 20:30:08.815805] 64 bytes from 172.16.0.1: icmp_seq=183 ttl=64 time=27.4 ms
[2021-08-02 20:30:09.010344] 64 bytes from 172.16.0.1: icmp_seq=184 ttl=64 time=21.2 ms
[2021-08-02 20:30:09.230241] 64 bytes from 172.16.0.1: icmp_seq=185 ttl=64 time=41.5 ms
[2021-08-02 20:30:09.441337] 64 bytes from 172.16.0.1: icmp_seq=186 ttl=64 time=51.6 ms
[2021-08-02 20:30:09.616561] 64 bytes from 172.16.0.1: icmp_seq=187 ttl=64 time=25.3 ms
[2021-08-02 20:30:09.821547] 64 bytes from 172.16.0.1: icmp_seq=188 ttl=64 time=29.6 ms
[2021-08-02 20:30:10.016954] 64 bytes from 172.16.0.1: icmp_seq=189 ttl=64 time=24.2 ms
[2021-08-02 20:30:10.207841] 64 bytes from 172.16.0.1: icmp_seq=190 ttl=64 time=15.6 ms
[2021-08-02 20:30:10.417365] 64 bytes from 172.16.0.1: icmp_seq=191 ttl=64 time=24.1 ms
[2021-08-02 20:30:10.633007] 64 bytes from 172.16.0.1: icmp_seq=192 ttl=64 time=39.3 ms
[2021-08-02 20:30:10.810289] 64 bytes from 172.16.0.1: icmp_seq=193 ttl=64 time=16.0 ms
[2021-08-02 20:30:11.023674] 64 bytes from 172.16.0.1: icmp_seq=194 ttl=64 time=29.2 ms
[2021-08-02 20:30:11.218571] 64 bytes from 172.16.0.1: icmp_seq=195 ttl=64 time=24.5 ms
[2021-08-02 20:30:11.429345] 64 bytes from 172.16.0.1: icmp_seq=196 ttl=64 time=34.4 ms
[2021-08-02 20:30:11.622136] 64 bytes from 172.16.0.1: icmp_seq=197 ttl=64 time=26.4 ms
[2021-08-02 20:30:11.827778] 64 bytes from 172.16.0.1: icmp_seq=198 ttl=64 time=31.4 ms
[2021-08-02 20:30:12.017904] 64 bytes from 172.16.0.1: icmp_seq=199 ttl=64 time=20.8 ms
[2021-08-02 20:30:12.223372] 64 bytes from 172.16.0.1: icmp_seq=200 ttl=64 time=26.1 ms
[2021-08-02 20:30:12.421618] 64 bytes from 172.16.0.1: icmp_seq=201 ttl=64 time=23.9 ms
[2021-08-02 20:30:12.619727] 64 bytes from 172.16.0.1: icmp_seq=202 ttl=64 time=21.8 ms
[2021-08-02 20:30:12.825715] 64 bytes from 172.16.0.1: icmp_seq=203 ttl=64 time=26.7 ms
[2021-08-02 20:30:13.016850] 64 bytes from 172.16.0.1: icmp_seq=204 ttl=64 time=16.8 ms
[2021-08-02 20:30:13.216552] 64 bytes from 172.16.0.1: icmp_seq=205 ttl=64 time=16.4 ms
[2021-08-02 20:30:13.425073] 64 bytes from 172.16.0.1: icmp_seq=206 ttl=64 time=24.3 ms
[2021-08-02 20:30:13.622524] 64 bytes from 172.16.0.1: icmp_seq=207 ttl=64 time=21.3 ms
[2021-08-02 20:30:13.830284] 64 bytes from 172.16.0.1: icmp_seq=208 ttl=64 time=28.4 ms
[2021-08-02 20:30:14.016187] 64 bytes from 172.16.0.1: icmp_seq=209 ttl=64 time=13.6 ms
[2021-08-02 20:30:14.219054] 64 bytes from 172.16.0.1: icmp_seq=210 ttl=64 time=15.5 ms
[2021-08-02 20:30:14.431310] 64 bytes from 172.16.0.1: icmp_seq=211 ttl=64 time=27.0 ms
[2021-08-02 20:30:14.628874] 64 bytes from 172.16.0.1: icmp_seq=212 ttl=64 time=24.1 ms
[2021-08-02 20:30:14.833033] 64 bytes from 172.16.0.1: icmp_seq=213 ttl=64 time=28.0 ms
[2021-08-02 20:30:15.033744] 64 bytes from 172.16.0.1: icmp_seq=214 ttl=64 time=28.4 ms
[2021-08-02 20:30:15.235643] 64 bytes from 172.16.0.1: icmp_seq=215 ttl=64 time=29.7 ms
[2021-08-02 20:30:15.438275] 64 bytes from 172.16.0.1: icmp_seq=216 ttl=64 time=31.2 ms
[2021-08-02 20:30:15.634358] 64 bytes from 172.16.0.1: icmp_seq=217 ttl=64 time=26.8 ms
[2021-08-02 20:30:15.833692] 64 bytes from 172.16.0.1: icmp_seq=218 ttl=64 time=25.2 ms
[2021-08-02 20:30:16.033406] 64 bytes from 172.16.0.1: icmp_seq=219 ttl=64 time=24.4 ms
[2021-08-02 20:30:16.232672] 64 bytes from 172.16.0.1: icmp_seq=220 ttl=64 time=23.1 ms
[2021-08-02 20:30:16.435153] 64 bytes from 172.16.0.1: icmp_seq=221 ttl=64 time=25.2 ms
[2021-08-02 20:30:16.625157] 64 bytes from 172.16.0.1: icmp_seq=222 ttl=64 time=14.7 ms
[2021-08-02 20:30:16.825765] 64 bytes from 172.16.0.1: icmp_seq=223 ttl=64 time=14.2 ms
[2021-08-02 20:30:17.031729] 64 bytes from 172.16.0.1: icmp_seq=224 ttl=64 time=19.7 ms
[2021-08-02 20:30:17.227889] 64 bytes from 172.16.0.1: icmp_seq=225 ttl=64 time=14.8 ms
[2021-08-02 20:30:17.444706] 64 bytes from 172.16.0.1: icmp_seq=226 ttl=64 time=30.2 ms
[2021-08-02 20:30:17.627672] 64 bytes from 172.16.0.1: icmp_seq=227 ttl=64 time=12.7 ms
[2021-08-02 20:30:17.839131] 64 bytes from 172.16.0.1: icmp_seq=228 ttl=64 time=23.2 ms
[2021-08-02 20:30:18.041444] 64 bytes from 172.16.0.1: icmp_seq=229 ttl=64 time=25.0 ms
[2021-08-02 20:30:18.242429] 64 bytes from 172.16.0.1: icmp_seq=230 ttl=64 time=25.7 ms
[2021-08-02 20:30:18.445466] 64 bytes from 172.16.0.1: icmp_seq=231 ttl=64 time=27.6 ms
[2021-08-02 20:30:18.645501] 64 bytes from 172.16.0.1: icmp_seq=232 ttl=64 time=26.8 ms
[2021-08-02 20:30:18.848607] 64 bytes from 172.16.0.1: icmp_seq=233 ttl=64 time=29.0 ms
[2021-08-02 20:30:19.038506] 64 bytes from 172.16.0.1: icmp_seq=234 ttl=64 time=18.4 ms
[2021-08-02 20:30:19.238500] 64 bytes from 172.16.0.1: icmp_seq=235 ttl=64 time=17.7 ms
[2021-08-02 20:30:19.438255] 64 bytes from 172.16.0.1: icmp_seq=236 ttl=64 time=16.4 ms
